review_id,user_name,airline_sentiment,sentiment_confidence,negative_reason,negative_reason_confidence,airline_name,review_text,thumbup_count,review_coordinates,review_timestamp,review_city,user_timezone
570306133677760513,cairdin,neutral,1,,,EgyptAir,What said.,0,,24/2/2015 11:35,,Eastern Time (US & Canada)
570301130888122368,jnardino,positive,0.3486,,0,EgyptAir,plus you've added commercials to the experience... tacky.,0,,24/2/2015 11:15,,Pacific Time (US & Canada)
570301083672813571,yvonnalynn,neutral,0.6837,,,EgyptAir,I didn't today... Must mean I need to take another trip!,0,,24/2/2015 11:15,Lets Play,Central Time (US & Canada)
570301031407624196,jnardino,negative,1,Bad Flight,0.7033,EgyptAir,"it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",0,,24/2/2015 11:15,,Pacific Time (US & Canada)
570300817074462722,jnardino,negative,1,Can't Tell,1,EgyptAir,and it's a really big bad thing about it,0,,24/2/2015 11:14,,Pacific Time (US & Canada)
570300767074181121,jnardino,negative,1,Can't Tell,0.6842,EgyptAir,seriously would pay $ a flight for seats that didn't have this playing. it's really the only bad thing about flying VA,0,,24/2/2015 11:14,,Pacific Time (US & Canada)
570300616901320704,cjmcginnis,positive,0.6745,,0,EgyptAir,"yes, nearly every time I fly VX this ear worm wont go away :)",0,,24/2/2015 11:13,San Francisco CA,Pacific Time (US & Canada)
570300248553349120,pilot,neutral,0.634,,,EgyptAir,"Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpGgrEZP",0,,24/2/2015 11:12,Los Angeles,Pacific Time (US & Canada)
570295459631263746,YupitsTate,positive,1,,,EgyptAir,"it was amazing, and arrived an hour early. You're too good to me.",0,,24/2/2015 10:53,Los Angeles,Eastern Time (US & Canada)
570294189143031808,idk_but_youtube,neutral,0.6769,,0,EgyptAir,did you know that suicide is the second leading cause of death among teens -,0,,24/2/2015 10:48,1/1 loner squad,Eastern Time (US & Canada)
570289724453216256,HyperCamiLax,positive,1,,,EgyptAir,I &lt; pretty graphics. so much better than minimal iconography. :D,0,,24/2/2015 10:30,NYC,America/New_York
570289584061480960,HyperCamiLax,positive,1,,,EgyptAir,This is such a great deal! Already thinking about my nd trip to &amp; I haven't even gone on my st trip yet! ;p,0,,24/2/2015 10:30,NYC,America/New_York
